tree name,location,tree 3d,tree video,latitude,longitude
maple,"Vallance Rd London E2 6HD",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/saveme.glb?v=1714744038913,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/saveme.mp4?v=1715180460475,51.525611,-0.059855
london plane,"Richmond Rd London E8 3QN",https://cdn.glitch.me/5e98aad4-e9be-41b4-96ae-4003030bc52f/FELIX%201.glb?v=1713865542235,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/londonplane.mp4?v=1714571127655,51.543143,-0.060999
silver birch,"Victoria Park London",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/bethnalg.glb?v=1714743684651,,51.535424,-0.046444
oak,"56 Bakers Hill London E5 9HL",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/eppingbald.glb?v=1714743861230,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/eppingbald.mp4?v=1715180427087,51.567802,-0.049691
london plane,"Clarence Rd Lower Clapton, London E5 8JJ",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/londonplanehack.glb?v=1714743981429,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/londonplanehack.mp4?v=1715180457039,51.552486,-0.056106
maple,"8 Highbury Grove London N5 2EQ",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/scotlanddoub.glb?v=1714748507399,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/scotlanddoub.mp4?v=1715180462855,51.548664,-0.097825
beech,"Kelvedon Mews London N1 3FW",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/tree3.glb?v=1713865508324,,51.544007,-0.084284
oak,"Islington London",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/scotlandwonk.glb?v=1714748753376,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/scotlandwonk.mp4?v=1715180435704,51.53637,-0.110701
white poplar,"London E1 5EH",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/shordich.glb?v=1714749543647,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/shordich.mp4?v=1715180437571,51.522384,-0.069255
sycamore - felled,"Hackney Downs London",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/sycamoredead.glb?v=1714749713032,https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/sycamoredead.mp4?v=1715180440504,51.552401,-0.059923
maple,"London E2 6HD",https://cdn.glitch.global/5e98aad4-e9be-41b4-96ae-4003030bc52f/weaversf.glb?v=1714749718706,,51.525191,-0.059839
oak,"London E2 7PS",https://cdn.glitch.me/a6164b07-2526-4f72-b0ff-8a82009ebc6b/trialone.glb?v=1684921225390,,51.528858,